id;start_date;end_date;language
1;2022-07-31T13:14:44;2022-07-31T11:04:59;ENGLISH
2;2022-07-30T22:42:19;2022-07-31T08:07:48;FRENCH
3;2022-07-31T08:38:31;2022-07-30T20:43:39;SPANISH
4;2022-07-31T13:09:20;2022-07-30T18:35:39;FRENCH
5;2022-07-31T15:25:43;2022-07-30T23:44:41;ENGLISH
6;2022-07-31T00:56:26;2022-07-31T14:56:46;SPANISH
7;2022-07-31T09:00:14;2022-07-30T19:34:23;FRENCH
8;2022-07-30T23:26:07;2022-07-30T20:01:56;FRENCH
9;2022-07-31T00:17:45;2022-07-31T11:49:11;FRENCH
10;2022-07-30T20:14:43;2022-07-31T13:12:12;FRENCH
